duration_minutes,departure_hour,day_of_week,month,days_advance,is_direct,is_international,is_weekend,is_peak_hour,is_busy_month,is_major_hub,distance_km,price
660,17,2,1,30,1,1,0,1,0,1,8798,800
600,17,2,1,30,1,1,0,1,0,1,7998,750
240,17,2,1,30,1,1,0,1,0,1,3199,300
220,17,2,1,30,1,1,0,1,0,1,2933,280
200,17,2,1,30,1,1,0,1,0,0,2666,180
360,17,2,1,30,1,1,0,1,0,1,4799,550
480,16,2,1,30,1,1,0,0,0,1,6398,600
280,16,2,1,30,1,1,0,0,0,1,3732,380
210,16,2,1,30,1,1,0,0,0,0,2799,200
270,15,2,1,30,1,1,0,0,0,1,3599,400
200,8,2,1,30,1,1,0,1,0,0,2666,180
210,8,2,1,30,1,1,0,1,0,0,2799,200
280,7,2,1,30,1,1,0,1,0,1,3732,380
270,7,2,1,30,1,1,0,1,0,1,3599,400
600,7,2,1,30,1,1,0,1,0,1,7998,750
660,7,2,1,30,1,1,0,1,0,1,8798,800
220,6,2,1,29,1,1,0,1,0,1,2933,280
240,6,2,1,29,1,1,0,1,0,1,3199,300
360,6,2,1,29,1,1,0,1,0,1,4799,550
480,6,2,1,29,1,1,0,1,0,1,6398,600
480,17,1,1,29,1,1,0,1,0,1,6398,600
660,17,1,1,29,1,1,0,1,0,1,8798,800
600,17,1,1,29,1,1,0,1,0,1,7998,750
240,17,1,1,29,1,1,0,1,0,1,3199,300
270,17,1,1,29,1,1,0,1,0,1,3599,400
210,17,1,1,29,1,1,0,1,0,0,2799,200
280,16,1,1,29,1,1,0,0,0,1,3732,380
220,16,1,1,29,1,1,0,0,0,1,2933,280
360,16,1,1,29,1,1,0,0,0,1,4799,550
200,15,1,1,29,1,1,0,0,0,0,2666,180
480,8,1,1,29,1,1,0,1,0,1,6398,600
280,8,1,1,29,1,1,0,1,0,1,3732,380
200,8,1,1,29,1,1,0,1,0,0,2666,180
220,8,1,1,29,1,1,0,1,0,1,2933,280
240,8,1,1,29,1,1,0,1,0,1,3199,300
600,7,1,1,29,1,1,0,1,0,1,7998,750
660,7,1,1,29,1,1,0,1,0,1,8798,800
270,7,1,1,29,1,1,0,1,0,1,3599,400
360,7,1,1,29,1,1,0,1,0,1,4799,550
210,6,1,1,28,1,1,0,1,0,0,2799,200
270,17,0,1,28,1,1,1,1,0,1,3599,400
220,16,0,1,28,1,1,1,0,0,1,2933,280
600,16,0,1,28,1,1,1,0,0,1,7998,750
240,16,0,1,28,1,1,1,0,0,1,3199,300
480,16,0,1,28,1,1,1,0,0,1,6398,600
360,16,0,1,28,1,1,1,0,0,1,4799,550
660,16,0,1,28,1,1,1,0,0,1,8798,800
200,15,0,1,28,1,1,1,0,0,0,2666,180
280,15,0,1,28,1,1,1,0,0,1,3732,380
210,15,0,1,28,1,1,1,0,0,0,2799,200
480,8,0,1,28,1,1,1,1,0,1,6398,600
360,8,0,1,28,1,1,1,1,0,1,4799,550
270,8,0,1,28,1,1,1,1,0,1,3599,400
280,7,0,1,28,1,1,1,1,0,1,3732,380
220,6,0,1,27,1,1,1,1,0,1,2933,280
240,6,0,1,27,1,1,1,1,0,1,3199,300
200,6,0,1,27,1,1,1,1,0,0,2666,180
210,6,0,1,27,1,1,1,1,0,0,2799,200
600,6,0,1,27,1,1,1,1,0,1,7998,750
660,6,0,1,27,1,1,1,1,0,1,8798,800
360,17,6,1,27,1,1,1,1,0,1,4799,550
270,17,6,1,27,1,1,1,1,0,1,3599,400
600,17,6,1,27,1,1,1,1,0,1,7998,750
240,17,6,1,27,1,1,1,1,0,1,3199,300
660,16,6,1,27,1,1,1,0,0,1,8798,800
220,16,6,1,27,1,1,1,0,0,1,2933,280
210,16,6,1,27,1,1,1,0,0,0,2799,200
480,16,6,1,27,1,1,1,0,0,1,6398,600
200,15,6,1,27,1,1,1,0,0,0,2666,180
280,15,6,1,27,1,1,1,0,0,1,3732,380
200,8,6,1,27,1,1,1,1,0,0,2666,180
270,8,6,1,27,1,1,1,1,0,1,3599,400
280,8,6,1,27,1,1,1,1,0,1,3732,380
480,8,6,1,27,1,1,1,1,0,1,6398,600
660,8,6,1,27,1,1,1,1,0,1,8798,800
220,8,6,1,27,1,1,1,1,0,1,2933,280
600,7,6,1,27,1,1,1,1,0,1,7998,750
360,7,6,1,27,1,1,1,1,0,1,4799,550
210,7,6,1,27,1,1,1,1,0,0,2799,200
240,6,6,1,26,1,1,1,1,0,1,3199,300
360,17,5,1,26,1,1,0,1,0,1,4799,550
280,17,5,1,26,1,1,0,1,0,1,3732,380
240,17,5,1,26,1,1,0,1,0,1,3199,300
600,16,5,1,26,1,1,0,0,0,1,7998,750
210,16,5,1,26,1,1,0,0,0,0,2799,200
200,16,5,1,26,1,1,0,0,0,0,2666,180
480,16,5,1,26,1,1,0,0,0,1,6398,600
220,15,5,1,26,1,1,0,0,0,1,2933,280
270,15,5,1,26,1,1,0,0,0,1,3599,400
660,15,5,1,26,1,1,0,0,0,1,8798,800
270,8,5,1,26,1,1,0,1,0,1,3599,400
360,8,5,1,26,1,1,0,1,0,1,4799,550
210,7,5,1,26,1,1,0,1,0,0,2799,200
280,7,5,1,26,1,1,0,1,0,1,3732,380
600,7,5,1,26,1,1,0,1,0,1,7998,750
660,6,5,1,25,1,1,0,1,0,1,8798,800
240,6,5,1,25,1,1,0,1,0,1,3199,300
220,6,5,1,25,1,1,0,1,0,1,2933,280
200,6,5,1,25,1,1,0,1,0,0,2666,180
480,6,5,1,25,1,1,0,1,0,1,6398,600
360,17,4,1,25,1,1,0,1,0,1,4799,550
480,17,4,1,25,1,1,0,1,0,1,6398,600
660,17,4,1,25,1,1,0,1,0,1,8798,800
220,17,4,1,25,1,1,0,1,0,1,2933,280
270,17,4,1,25,1,1,0,1,0,1,3599,400
280,17,4,1,25,1,1,0,1,0,1,3732,380
210,16,4,1,25,1,1,0,0,0,0,2799,200
200,16,4,1,25,1,1,0,0,0,0,2666,180
600,15,4,1,25,1,1,0,0,0,1,7998,750
240,15,4,1,25,1,1,0,0,0,1,3199,300
220,8,4,1,25,1,1,0,1,0,1,2933,280
240,8,4,1,25,1,1,0,1,0,1,3199,300
200,8,4,1,25,1,1,0,1,0,0,2666,180
660,7,4,1,25,1,1,0,1,0,1,8798,800
600,6,4,1,24,1,1,0,1,0,1,7998,750
210,6,4,1,24,1,1,0,1,0,0,2799,200
280,6,4,1,24,1,1,0,1,0,1,3732,380
270,6,4,1,24,1,1,0,1,0,1,3599,400
480,6,4,1,24,1,1,0,1,0,1,6398,600
360,6,4,1,24,1,1,0,1,0,1,4799,550
360,17,3,1,24,1,1,0,1,0,1,4799,550
270,17,3,1,24,1,1,0,1,0,1,3599,400
200,17,3,1,24,1,1,0,1,0,0,2666,180
480,17,3,1,24,1,1,0,1,0,1,6398,600
660,16,3,1,24,1,1,0,0,0,1,8798,800
280,15,3,1,24,1,1,0,0,0,1,3732,380
210,15,3,1,24,1,1,0,0,0,0,2799,200
220,15,3,1,24,1,1,0,0,0,1,2933,280
600,15,3,1,24,1,1,0,0,0,1,7998,750
240,15,3,1,24,1,1,0,0,0,1,3199,300
270,8,3,1,24,1,1,0,1,0,1,3599,400
280,8,3,1,24,1,1,0,1,0,1,3732,380
360,8,3,1,24,1,1,0,1,0,1,4799,550
480,8,3,1,24,1,1,0,1,0,1,6398,600
600,8,3,1,24,1,1,0,1,0,1,7998,750
200,7,3,1,24,1,1,0,1,0,0,2666,180
210,7,3,1,24,1,1,0,1,0,0,2799,200
220,6,3,1,23,1,1,0,1,0,1,2933,280
240,6,3,1,23,1,1,0,1,0,1,3199,300
660,6,3,1,23,1,1,0,1,0,1,8798,800
270,17,2,1,23,1,1,0,1,0,1,3599,400
280,17,2,1,23,1,1,0,1,0,1,3732,380
210,17,2,1,23,1,1,0,1,0,0,2799,200
240,17,2,1,23,1,1,0,1,0,1,3199,300
600,16,2,1,23,1,1,0,0,0,1,7998,750
200,16,2,1,23,1,1,0,0,0,0,2666,180
480,15,2,1,23,1,1,0,0,0,1,6398,600
360,15,2,1,23,1,1,0,0,0,1,4799,550
220,15,2,1,23,1,1,0,0,0,1,2933,280
660,15,2,1,23,1,1,0,0,0,1,8798,800
480,8,2,1,23,1,1,0,1,0,1,6398,600
360,7,2,1,23,1,1,0,1,0,1,4799,550
280,7,2,1,23,1,1,0,1,0,1,3732,380
210,7,2,1,23,1,1,0,1,0,0,2799,200
240,7,2,1,23,1,1,0,1,0,1,3199,300
220,6,2,1,22,1,1,0,1,0,1,2933,280
600,6,2,1,22,1,1,0,1,0,1,7998,750
660,6,2,1,22,1,1,0,1,0,1,8798,800
200,6,2,1,22,1,1,0,1,0,0,2666,180
270,6,2,1,22,1,1,0,1,0,1,3599,400
360,17,1,1,22,1,1,0,1,0,1,4799,550
660,17,1,1,22,1,1,0,1,0,1,8798,800
270,17,1,1,22,1,1,0,1,0,1,3599,400
240,16,1,1,22,1,1,0,0,0,1,3199,300
600,15,1,1,22,1,1,0,0,0,1,7998,750
220,15,1,1,22,1,1,0,0,0,1,2933,280
280,15,1,1,22,1,1,0,0,0,1,3732,380
210,15,1,1,22,1,1,0,0,0,0,2799,200
200,15,1,1,22,1,1,0,0,0,0,2666,180
480,15,1,1,22,1,1,0,0,0,1,6398,600
200,8,1,1,22,1,1,0,1,0,0,2666,180
240,8,1,1,22,1,1,0,1,0,1,3199,300
220,7,1,1,22,1,1,0,1,0,1,2933,280
270,7,1,1,22,1,1,0,1,0,1,3599,400
280,7,1,1,22,1,1,0,1,0,1,3732,380
600,7,1,1,22,1,1,0,1,0,1,7998,750
360,7,1,1,22,1,1,0,1,0,1,4799,550
480,6,1,1,21,1,1,0,1,0,1,6398,600
210,6,1,1,21,1,1,0,1,0,0,2799,200
660,6,1,1,21,1,1,0,1,0,1,8798,800
240,17,0,1,21,1,1,1,1,0,1,3199,300
270,17,0,1,21,1,1,1,1,0,1,3599,400
210,17,0,1,21,1,1,1,1,0,0,2799,200
280,16,0,1,21,1,1,1,0,0,1,3732,380
600,16,0,1,21,1,1,1,0,0,1,7998,750
480,16,0,1,21,1,1,1,0,0,1,6398,600
360,16,0,1,21,1,1,1,0,0,1,4799,550
660,15,0,1,21,1,1,1,0,0,1,8798,800
220,15,0,1,21,1,1,1,0,0,1,2933,280
200,15,0,1,21,1,1,1,0,0,0,2666,180
220,8,0,1,21,1,1,1,1,0,1,2933,280
660,8,0,1,21,1,1,1,1,0,1,8798,800
600,7,0,1,21,1,1,1,1,0,1,7998,750
240,7,0,1,21,1,1,1,1,0,1,3199,300
480,7,0,1,21,1,1,1,1,0,1,6398,600
200,7,0,1,21,1,1,1,1,0,0,2666,180
210,7,0,1,21,1,1,1,1,0,0,2799,200
280,7,0,1,21,1,1,1,1,0,1,3732,380
270,6,0,1,20,1,1,1,1,0,1,3599,400
360,6,0,1,20,1,1,1,1,0,1,4799,550
270,17,6,0,20,1,1,1,1,1,1,3599,400
200,17,6,0,20,1,1,1,1,1,0,2666,180
480,17,6,0,20,1,1,1,1,1,1,6398,600
600,17,6,0,20,1,1,1,1,1,1,7998,750
280,16,6,0,20,1,1,1,0,1,1,3732,380
240,15,6,0,20,1,1,1,0,1,1,3199,300
220,15,6,0,20,1,1,1,0,1,1,2933,280
360,15,6,0,20,1,1,1,0,1,1,4799,550
210,15,6,0,20,1,1,1,0,1,0,2799,200
